                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.1722,                 1.1547,                0.67122,                 0.9912,              0.0009802
                      1,                 0.9875,                 1.0993,                0.69611,                0.99484,              0.0009604
                      2,                0.86427,                 1.2644,                0.63995,                0.97996,              0.0009406
                      3,                 0.7554,                 1.0813,                0.73467,                0.98755,              0.0009208
                      4,                0.65895,                 1.1257,                0.71038,                0.97268,               0.000901
                      5,                0.61799,                 1.0875,                0.73588,                0.98118,              0.0008812
                      6,                0.54424,                 1.0417,                0.74317,                0.98361,              0.0008614
                      7,                0.54006,                 1.0311,                0.75956,                0.98543,              0.0008416
                      8,                 0.5163,                 1.0579,                0.73831,                0.98027,              0.0008218
                      9,                0.51482,                 1.0728,                0.72769,                0.98695,               0.000802
                     10,                0.51226,                 1.0291,                0.76199,                  0.983,              0.0007822
                     11,                0.50105,                 1.0264,                0.75137,                0.98512,              0.0007624
                     12,                0.51624,                 1.1108,                0.71979,                0.98391,              0.0007426
                     13,                 0.4883,                 1.0463,                0.76381,                0.98421,              0.0007228
                     14,                0.48741,                  1.015,                0.76776,                  0.983,               0.000703
                     15,                0.53101,                  1.043,                0.75349,                0.98239,              0.0006832
                     16,                0.50462,                 1.0095,                0.76017,                0.98452,              0.0006634
                     17,                0.49597,                 1.0431,                 0.7626,                0.98178,              0.0006436
                     18,                 0.4748,                 1.0241,                0.75835,                0.98452,              0.0006238
                     19,                0.47925,                 1.0426,                0.76594,                 0.9827,               0.000604
                     20,                0.47065,                 1.0194,                0.76442,                0.98573,              0.0005842
                     21,                0.48017,                 1.0429,                0.76897,                0.97814,              0.0005644
                     22,                0.50821,                 1.0491,                0.75379,                0.98057,              0.0005446
                     23,                0.49389,                 1.0269,                0.76928,                0.98786,              0.0005248
                     24,                 0.4651,                  1.029,                0.76715,                  0.983,               0.000505
                     25,                0.47938,                 1.0222,                 0.7708,                 0.9827,              0.0004852
                     26,                0.47908,                 1.0195,                0.76806,                0.98512,              0.0004654
                     27,                0.46486,                 1.0129,                0.76806,                0.98695,              0.0004456
                     28,                0.46749,                 1.0269,                0.76503,                0.98725,              0.0004258
                     29,                0.45471,                 1.0178,                0.76655,                0.98907,               0.000406
                     30,                0.45295,                 1.0146,                0.77049,                0.98907,              0.0003862
                     31,                0.47604,                 1.0389,                0.76138,                0.98695,              0.0003664
                     32,                0.45539,                 1.0194,                0.76412,                0.98604,              0.0003466
                     33,                0.45056,                 1.0044,                0.77049,                0.99059,              0.0003268
                     34,                0.45189,                0.99878,                0.77292,                0.98937,               0.000307
                     35,                0.47058,                 1.0263,                0.76806,                0.98543,              0.0002872
                     36,                0.46881,                 1.0212,                0.77322,                0.98452,              0.0002674
                     37,                0.45355,                 1.0256,                0.76837,                0.98391,              0.0002476
                     38,                0.45403,                 1.0343,                0.76442,                0.98209,              0.0002278
                     39,                0.45289,                 1.0178,                 0.7714,                0.98361,               0.000208
                     40,                0.45555,                 1.0371,                 0.7708,                 0.9827,              0.0001882
                     41,                0.45469,                 1.0494,                0.76503,                0.98118,              0.0001684
                     42,                0.45518,                  1.039,                0.77049,                0.97966,              0.0001486
                     43,                0.44934,                   1.03,                0.76897,                0.98087,              0.0001288
                     44,                 0.4489,                 1.0373,                0.76988,                0.97996,               0.000109
                     45,                0.44963,                 1.0364,                0.76776,                0.97784,               8.92e-05
                     46,                0.45074,                 1.0485,                0.75865,                0.97905,               6.94e-05
                     47,                0.44935,                 1.0525,                0.76746,                0.98057,               4.96e-05
                     48,                0.45228,                 1.0512,                0.76624,                0.97936,               2.98e-05
                     49,                0.44938,                 1.0505,                 0.7626,                0.97996,                  1e-05
                      0,                 1.0542,                 1.1637,                0.66697,                0.98968,              0.0009802
                      1,                0.89294,                 1.2384,                0.64511,                0.99302,              0.0009604
                      2,                0.80772,                 1.2523,                0.62447,                0.98725,              0.0009406
                      3,                0.73701,                 1.1609,                0.67668,                0.99393,              0.0009208
                      4,                0.67943,                 1.0723,                 0.7122,                0.99271,               0.000901
                      5,                0.60958,                 1.1606,                0.69308,                0.98178,              0.0008812
                      6,                0.58237,                 1.0619,                0.73072,                0.98421,              0.0008614
                      7,                0.55602,                 1.0775,                0.73163,                0.98482,              0.0008416
                      8,                0.52377,                 1.1142,                0.71736,                0.97723,              0.0008218
                      9,                0.52153,                 1.0708,                0.74651,                0.97996,               0.000802
                     10,                 0.5179,                 1.0867,                0.74135,                0.98057,              0.0007822
                     11,                0.51509,                 1.0337,                0.75046,                0.98664,              0.0007624
